통계분류(1),통계분류(2),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
전체,소계,16412,17317,5346,11981,4399,8161,5796,3083,56120,42514,15532,30442,22107,30644,25247,32980,24945
성별,남자,8945,8663,2591,6172,2182,4337,3402,1885,28722,21234,7849,16005,11391,15576,13533,16918,10813
성별,여자,7467,8654,2755,5809,2217,3824,2393,1198,27397,21280,7683,14437,10716,15068,11714,16062,14132
연령,15~19세,1048,863,178,324,171,366,233,106,2161,1000,471,1112,608,828,798,877,458
연령,20대,4385,4796,990,2644,902,1433,821,524,10625,8477,1994,5088,3769,5858,3601,4913,3993
연령,30대,3458,4156,1187,2510,785,2272,1299,899,13573,9123,3373,6697,4813,5651,4837,7457,6919
연령,40대,2968,3194,1270,2832,785,1542,1130,737,11284,10220,3737,7450,5204,6644,5928,7517,5530
연령,50대,2531,2606,980,2081,894,1155,1299,509,9904,8072,3754,6294,4573,6518,6076,6968,5628
연령,60대,1229,1297,489,1255,513,1014,709,182,5888,4776,1429,2887,2152,3637,3028,3791,1532
연령,70세 이상,794,404,253,334,348,378,305,125,2685,847,774,914,988,1508,981,1456,884
직업,임금봉급근로자,8683,10858,2651,7060,2402,4885,3716,2165,31083,25563,8754,17298,12438,16683,12304,18226,12912
직업,고용원있는사업주,724,309,116,463,82,296,152,43,2268,1971,549,1128,498,698,1038,893,1518
직업,고용원없는자영업자,1705,1867,1052,1674,857,936,556,315,7179,5915,2424,4944,4295,6477,5379,6224,3378
직업,무급가족 종사자,184,226,197,123,83,102,64,28,687,165,245,695,439,860,261,645,355
직업,사무전문,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,기술생산노무,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,판매서비스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,자영업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,전업주부,1614,1715,763,1621,389,969,633,234,8041,4586,1529,3366,2467,2988,3436,3807,4919
직업,학생,2552,1589,426,676,415,664,469,215,4902,2893,1461,2442,1583,2200,1708,2445,1355
직업,무직은퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,기타,951,753,141,364,172,310,207,83,1959,1421,570,569,387,738,1122,739,508
학력,초졸 이하,288,236,82,112,274,254,174,30,677,278,321,318,319,958,444,726,68
학력,중학교,697,682,446,276,210,379,195,98,2283,829,663,977,915,1806,1305,1376,439
학력,고등학교,4584,4680,1884,4006,1378,2162,2111,809,19350,13355,6025,10707,7720,10134,9456,12064,6859
학력,대학교이상,10844,11719,2934,7588,2537,5366,3316,2145,33810,28052,8523,18440,13153,17747,14042,18814,17579
가구원수,1인,1904,2660,957,1894,817,1567,813,503,8487,5740,2135,4131,3332,3939,3689,4828,3433
가구원수,2인,2911,3440,1160,1970,955,1913,1419,716,10566,8150,3041,5775,4802,7411,5355,7666,3494
가구원수,3인이상,11597,11216,3229,8117,2627,4681,3563,1863,37067,28624,10356,20535,13973,19294,16203,20487,18018
가구소득,100만원 미만,577,264,82,163,195,355,211,50,1167,345,518,561,466,912,824,690,204
가구소득,100~200만원 미만,584,464,403,340,226,536,245,141,2544,1279,457,1055,781,1431,1409,1761,274
가구소득,200~300만원 미만,1841,2431,905,1586,844,1221,744,531,7157,3721,1913,3698,2891,4112,3061,4637,1875
가구소득,300~400만원 미만,3653,3650,1501,2353,974,1824,1468,700,10960,7198,3240,6412,5348,7402,5993,9304,5171
가구소득,400~500만원 미만,3324,3938,914,2388,910,1220,1169,670,11285,8716,3611,7351,5189,6689,4952,6946,5848
가구소득,500~600만원 미만,3101,3064,614,2911,776,1554,1054,384,11466,8904,2941,5599,3747,5234,4435,5302,5192
가구소득,600만원 이상,3332,3507,928,2240,473,1452,904,607,11538,12352,2852,5766,3684,4864,4574,4340,6381
가구소득,무응답,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
